Name,Votes,Company
Liu Yu,25959880,Biubiu Culture 
Santa,16611343,Avex
Rikimaru,16591943,Avex
Mika,16255569,Avex
Nine,13898339,Insight Entertainment
Lin Mo,13700082,Original Plan
Bo Yuan,13651294,White Media
Zhang Jiayuan,13612487,Wajijiwa Entertainment
Patrick,13359428,Insight Entertainment
Zhou Keyu,13279523,Jaywalk Newjoy
Liu Zhang,13274812,W8VES
Xilinnayi Gao,251000008,The Voice of Dream
Zhao Yue,180000008,SNH48
Wang Yijin,148000008,Jaywalk Newjoy
Chen Zhuoxuan,145000008,TH Entertainment
Nene Zheng,125000008,Huaying Entertainment
Liu Xiening,93272515,Hot Idol
Zhang Yifan,91588994,TF Entertainment
Zhou Zhennan,37098540,Wajijiwa Entertainment
He Luo Luo,13652312,Original Plan
Yan Xu Jia,11164384,Wajijiwa Entertainment
Xia Zhi Guang,11107051,Wajijiwa Entertainment
Yao Chen,10764262,JYP China
Zhai Xiao Wen,10581322,Wajijiwa Entertainment
Zhang Yan Qi,9626872,Tai Du Yin Yue
Liu Ye,7974641,Pelias
Ren Hao,7511752,White Media
Zhao Lei,7503760,Wajijiwa Entertainment
Ryan Zhao,7498972,SDT Entertainment
Meng Meiqi,185244357,Yuehua
Wu Xuanyi,181533349,Yuehua
Yang Chaoyue,138560781,Wenlan Culture
Duan Aojuan,110325869,Long WuTian Culture
Yamy,108780982,JC7
Lai Meiyun,107771558,Qigu Culture
Zi Ning,107630613,Mavericks
Sunnee,106536863,K-L
Li Ziting,86063212,ReDu Music
Fu Jing,84513609,Banana
Xu Mengjie,83772852,Babyou